support,itemsets
0.041666666666666664,"frozenset({""['점프슈트', '하의', '데님', '스트리트', '힙합']"", ""['디스트로이드', '데님', '하의', '데님', '섹시', '페미닌']""})"
0.041666666666666664,"frozenset({""['디스트로이드', '데님', '하의', '데님', '섹시', '페미닌']"", ""['테니스', '스커트', '하의', '회색', '걸리시']""})"
0.041666666666666664,"frozenset({""['블랙', '쇼츠', '하의', '검정색', '섹시', '페미닌']"", ""['레깅스', '하의', '파랑색', '섹시', '페미닌']""})"
0.041666666666666664,"frozenset({""['레깅스', '하의', '파랑색', '섹시', '페미닌']"", ""['스커트', '네이비', '하의', '파랑색', '심플', '캐주얼']""})"
0.041666666666666664,"frozenset({""['레깅스', '하의', '파랑색', '섹시', '페미닌']"", ""['슬랙스', '블랙', '하의', '검정색', '스트리트', '힙합']""})"
0.041666666666666664,"frozenset({""['점프수트', '데님', '하의', '파랑색', '스트리트', '힙합']"", ""['레깅스', '하의', '파랑색', '섹시', '페미닌']""})"
0.041666666666666664,"frozenset({""['레깅스', '하의', '파랑색', '섹시', '페미닌']"", ""['점프슈트', '하의', '데님', '스트리트', '힙합']""})"
0.041666666666666664,"frozenset({""['레깅스', '하의', '파랑색', '섹시', '페미닌']"", ""['테니스', '스커트', '하의', '회색', '걸리시']""})"
0.041666666666666664,"frozenset({""['미니스커트', '체크', '하의', '체크', '섹시', '페미닌']"", ""['미니스커트', '블랙', '하의', '검정색', '심플', '캐주얼']""})"
0.041666666666666664,"frozenset({""['쇼츠', '블랙', '하의', '검정색', '스트리트', '힙합']"", ""['미니스커트', '블랙', '하의', '검정색', '심플', '캐주얼']""})"
0.041666666666666664,"frozenset({""['트랙팬츠', '레드', '하의', '빨간색', '스트리트', '힙합']"", ""['미니스커트', '블랙', '하의', '검정색', '심플', '캐주얼']""})"
0.041666666666666664,"frozenset({""['미니스커트', '체크', '하의', '체크', '섹시', '페미닌']"", ""['쇼츠', '블랙', '하의', '검정색', '스트리트', '힙합']""})"
0.041666666666666664,"frozenset({""['미니스커트', '체크', '하의', '체크', '섹시', '페미닌']"", ""['트랙팬츠', '레드', '하의', '빨간색', '스트리트', '힙합']""})"
0.041666666666666664,"frozenset({""['쇼츠', '그린', '하의', '녹색', '스트리트', '힙합']"", ""['미니스커트', '하의', '애니멀', '섹시', '페미닌']""})"
0.041666666666666664,"frozenset({""['슬랙스', '하의', '검정색', '심플', '캐주얼']"", ""['미니스커트', '하의', '애니멀', '섹시', '페미닌']""})"
0.041666666666666664,"frozenset({""['오버롤', '블랙', '하의', '검정색', '스트리트', '힙합']"", ""['미니스커트', '하의', '애니멀', '섹시', '페미닌']""})"
0.041666666666666664,"frozenset({""['와이드팬츠', '블랙', '하의', '검정색', '스트리트', '힙합']"", ""['미니스커트', '하의', '애니멀', '섹시', '페미닌']""})"
0.041666666666666664,"frozenset({""['트랙팬츠', '블루', '하의', '파랑색', '보라색', '스트리트', '힙합']"", ""['미니스커트', '하의', '애니멀', '섹시', '페미닌']""})"
0.041666666666666664,"frozenset({""['트랙팬츠', '블루', '하의', '파랑색', '스트리트', '힙합']"", ""['미니스커트', '하의', '애니멀', '섹시', '페미닌']""})"
0.041666666666666664,"frozenset({""['팬츠', '베이지', '하의', '베이지색', '심플', '캐주얼']"", ""['미니스커트', '하의', '애니멀', '섹시', '페미닌']""})"
0.041666666666666664,"frozenset({""['점프슈트', '하의', '파랑색', '스트리트', '힙합']"", ""['미니스커트', '하의', '파랑색', '유니크', '키치']""})"
0.041666666666666664,"frozenset({""['블랙', '쇼츠', '하의', '검정색', '섹시', '페미닌']"", ""['스커트', '네이비', '하의', '파랑색', '심플', '캐주얼']""})"
0.041666666666666664,"frozenset({""['블랙', '쇼츠', '하의', '검정색', '섹시', '페미닌']"", ""['슬랙스', '블랙', '하의', '검정색', '스트리트', '힙합']""})"
0.041666666666666664,"frozenset({""['블랙', '쇼츠', '하의', '검정색', '섹시', '페미닌']"", ""['점프수트', '데님', '하의', '파랑색', '스트리트', '힙합']""})"
0.041666666666666664,"frozenset({""['블랙', '쇼츠', '하의', '검정색', '섹시', '페미닌']"", ""['점프슈트', '하의', '데님', '스트리트', '힙합']""})"
0.041666666666666664,"frozenset({""['블랙', '쇼츠', '하의', '검정색', '섹시', '페미닌']"", ""['테니스', '스커트', '하의', '회색', '걸리시']""})"
0.041666666666666664,"frozenset({""['스커트', '체크', '하의', '체크', '걸리시']"", ""['블랙', '와이드팬츠', '하의', '심플', '캐주얼']""})"
0.041666666666666664,"frozenset({""['슬랙스', '하의', '검정색', '심플', '캐주얼']"", ""['쇼츠', '그린', '하의', '녹색', '스트리트', '힙합']""})"
0.041666666666666664,"frozenset({""['쇼츠', '그린', '하의', '녹색', '스트리트', '힙합']"", ""['오버롤', '블랙', '하의', '검정색', '스트리트', '힙합']""})"
0.041666666666666664,"frozenset({""['쇼츠', '그린', '하의', '녹색', '스트리트', '힙합']"", ""['와이드팬츠', '블랙', '하의', '검정색', '스트리트', '힙합']""})"
0.041666666666666664,"frozenset({""['쇼츠', '그린', '하의', '녹색', '스트리트', '힙합']"", ""['트랙팬츠', '블루', '하의', '파랑색', '보라색', '스트리트', '힙합']""})"
