date,image,tags,temperature,cluster
2018-05-23,//image.musinsa.com/mfile_s01/_street_images/44457/280.street_img_view25b04ed2a1e10d.jpg?,"['조거팬츠', '블랙', '하의', '검정색', '섹시', '페미닌']",17.3,8
2018-05-23,//image.musinsa.com/mfile_s01/_street_images/44461/280.street_img_view25b04ec8dd1810.jpg?,"['슬랙스', '블랙', '하의', '검정색', '심플', '캐주얼']",17.3,8
2018-05-25,//image.musinsa.com/mfile_s01/_street_images/44520/280.street_img_view25b0fa03306fe1.jpg?20180528115732,"['MMPT0002', '멜란지마스터', '하의', '빨간색', '스트리트', '힙합']",19.7,6
2018-05-25,//image.musinsa.com/mfile_s01/_street_images/44513/280.street_img_view25b0fa31260f63.jpg?20180525190204,"['MMPT0002', '멜란지마스터', '하의', '녹색', '스트리트', '힙합']",19.7,6
2018-05-25,//image.musinsa.com/mfile_s01/_street_images/44512/280.street_img_view25b0fa34f2d849.jpg?20180525190245,"['MMPT0002', '멜란지마스터', '하의', '분홍색', '스트리트', '힙합']",19.7,6
2018-05-25,//image.musinsa.com/mfile_s01/_street_images/44517/280.street_img_view25b0fa14b4a4d1.jpg?20180525185925,"['MMPT0002', '멜란지마스터', '하의', '보라색', '스트리트', '힙합']",19.7,6
2018-05-26,//image.musinsa.com/mfile_s01/_street_images/44544/280.street_img_view15b22466f3f950.jpg?,"['점프슈트', '하의', '파랑색', '스트리트', '힙합']",21.8,1
2018-05-26,//image.musinsa.com/mfile_s01/_street_images/44745/280.street_img_view25b30965c8909c.jpg?20180625171924,"['데님팬츠', 'denim', 'pants', '하의', '데님', '심플', '캐주얼']",21.8,1
2018-05-26,//image.musinsa.com/mfile_s01/_street_images/44747/280.street_img_view25b3095e460037.jpg?,"['미니스커트', '하의', '파랑색', '유니크', '키치']",21.8,1
2018-05-27,//image.musinsa.com/mfile_s01/_street_images/44581/280.street_img_view15b10b22d6f81e.jpg?20180601140331,"['팬츠', '와이케이', '하의', '체크', '걸리시']",20.3,6
2018-05-27,//image.musinsa.com/mfile_s01/_street_images/44577/280.street_img_view15b10c9d13e0bd.jpg?20180601140503,"['스커트', '5252BYOIOI', '하의', '체크', '걸리시']",20.3,6
2018-05-28,//image.musinsa.com/mfile_s01/_street_images/44624/280.street_img_view15b288d13bee27.jpg?20180619154616,"['점프슈트', '하의', '데님', '스트리트', '힙합']",22.3,1
2018-05-28,//image.musinsa.com/mfile_s01/_street_images/44631/280.street_img_view25b288ba681db3.jpg?20180619154713,"['데님', '쇼츠', '하의', '데님', '섹시', '페미닌']",22.3,1
2018-05-28,//image.musinsa.com/mfile_s01/_street_images/44652/280.street_img_view25b0ce27cd5698.jpg?,"['슬랙스', '블랙', '하의', '검정색', '스트리트', '힙합']",22.3,1
2018-05-28,//image.musinsa.com/mfile_s01/_street_images/44651/280.street_img_view25b0ce299d382f.jpg?,"['디스트로이드', '데님', '하의', '데님', '섹시', '페미닌']",22.3,1
2018-05-28,//image.musinsa.com/mfile_s01/_street_images/44621/280.street_img_view25b223f3578a99.jpg?20180614201651,"['레깅스', '하의', '파랑색', '섹시', '페미닌']",22.3,1
2018-05-28,//image.musinsa.com/mfile_s01/_street_images/44613/280.street_img_view15b223ff580b93.jpg?20180614202320,"['테니스', '스커트', '하의', '회색', '걸리시']",22.3,1
2018-05-28,//image.musinsa.com/mfile_s01/_street_images/44656/280.street_img_view15b0ce215257b3.jpg?,"['점프수트', '데님', '하의', '파랑색', '스트리트', '힙합']",22.3,1
2018-05-28,//image.musinsa.com/mfile_s01/_street_images/44646/280.street_img_view15b0ce376f1324.jpg?,"['스커트', '네이비', '하의', '파랑색', '심플', '캐주얼']",22.3,1
2018-05-28,//image.musinsa.com/mfile_s01/_street_images/44587/280.street_img_view25b2245f28d9ab.jpg?20180614195319,"['데님', '쇼츠', '하의', '데님', '스트리트', '힙합']",22.3,1
2018-05-28,//image.musinsa.com/mfile_s01/_street_images/44643/280.street_img_view25b0ce3bba271f.jpg?,"['데님팬츠', '하의', '데님', '섹시', '페미닌']",22.3,1
2018-05-28,//image.musinsa.com/mfile_s01/_street_images/44629/280.street_img_view25b288c1554908.jpg?20180619154701,"['데님팬츠', 'DENIM', 'PANTS', '하의', '데님', '심플', '캐주얼']",22.3,1
2018-05-28,//image.musinsa.com/mfile_s01/_street_images/44633/280.street_img_view25b288aea2e33d.jpg?20180619154816,"['블랙', '쇼츠', '하의', '검정색', '섹시', '페미닌']",22.3,1
2018-05-29,//image.musinsa.com/mfile_s01/_street_images/44701/280.street_img_view25b0cdf6ea6e80.jpg?20180529105142,"['팬츠', '베이지', '하의', '베이지색', '심플', '캐주얼']",21.4,1
2018-05-29,//image.musinsa.com/mfile_s01/_street_images/44702/280.street_img_view25b0cde2f6c61c.jpg?,"['오버롤', '블랙', '하의', '검정색', '스트리트', '힙합']",21.4,1
2018-05-29,//image.musinsa.com/mfile_s01/_street_images/44673/280.street_img_view15b0ce108efa58.jpg?,"['쇼츠', '그린', '하의', '녹색', '스트리트', '힙합']",21.4,1
2018-05-29,//image.musinsa.com/mfile_s01/_street_images/44690/280.street_img_view25b2881770bbe4.jpg?20180619180259,"['슬랙스', '하의', '검정색', '심플', '캐주얼']",21.4,1
2018-05-29,//image.musinsa.com/mfile_s01/_street_images/44670/280.street_img_view15b0ce14d61002.jpg?,"['와이드팬츠', '블랙', '하의', '검정색', '스트리트', '힙합']",21.4,1
2018-05-29,//image.musinsa.com/mfile_s01/_street_images/44672/280.street_img_view15b0ce12b861bc.jpg?,"['트랙팬츠', '블루', '하의', '파랑색', '스트리트', '힙합']",21.4,1
2018-05-29,//image.musinsa.com/mfile_s01/_street_images/44676/280.street_img_view15b28823795f14.jpg?20180619172546,"['미니스커트', '하의', '애니멀', '섹시', '페미닌']",21.4,1
2018-05-29,//image.musinsa.com/mfile_s01/_street_images/44669/280.street_img_view15b0ce17edce80.jpg?,"['트랙팬츠', '블루', '하의', '파랑색', '보라색', '스트리트', '힙합']",21.4,1
2018-05-29,//image.musinsa.com/mfile_s01/_street_images/44687/280.street_img_view15b0cdf95680e1.jpg?,"['데님팬츠', '하의', '파랑색', '데님', '심플', '캐주얼']",21.4,1
2018-05-31,//image.musinsa.com/mfile_s01/_street_images/44754/280.street_img_view15b10a66173a6e.jpg?20180601140032,"['(W) Holic Skirt', '아파트먼트', '하의', '체크', '심플', '캐주얼']",20.9,6
2018-06-01,//image.musinsa.com/mfile_s01/_street_images/44818/280.street_img_view25b16626c715ab.jpg?,"['와이드팬츠', '블랙', '하의', '검정색', '심플', '캐주얼']",23.8,1
2018-06-04,//image.musinsa.com/mfile_s01/_street_images/44776/280.street_img_view25b150535df03d.jpg?20180604190147,"['102 ordinary', '유니폼브릿지', '하의', '데님', '심플', '캐주얼']",22.6,1
2018-06-05,//image.musinsa.com/mfile_s01/_street_images/44820/280.street_img_view15b166218527bc.jpg?20180618112755,"['쇼츠', '블랙', '하의', '검정색', '스트리트', '힙합']",23.7,1
2018-06-05,//image.musinsa.com/mfile_s01/_street_images/44808/280.street_img_view25b1663d0064ac.jpg?20180605193458,"['트랙팬츠', '레드', '하의', '빨간색', '스트리트', '힙합']",23.7,1
2018-06-05,//image.musinsa.com/mfile_s01/_street_images/44831/280.street_img_view25b2aff0314a29.jpg?20180622141948,"['디스진', '데님팬츠', '팬츠', '하의', '데님', '심플', '캐주얼']",23.7,1
2018-06-05,//image.musinsa.com/mfile_s01/_street_images/44809/280.street_img_view15b16639dc230d.jpg?,"['미니스커트', '체크', '하의', '체크', '섹시', '페미닌']",23.7,1
2018-06-05,//image.musinsa.com/mfile_s01/_street_images/44806/280.street_img_view25b16642a7b25e.jpg?,"['미니스커트', '블랙', '하의', '검정색', '심플', '캐주얼']",23.7,1
2018-06-07,//image.musinsa.com/mfile_s01/_street_images/44852/280.street_img_view25b19cc0b0fcca.jpg?,"['팬츠', '블랙', '하의', '검정색', '심플', '캐주얼']",22.2,1
2018-06-07,//image.musinsa.com/mfile_s01/_street_images/44861/280.street_img_view25b19cb0b1905b.jpg?,"['데님팬츠', '하의', '데님', '심플', '캐주얼']",22.2,1
2018-06-09,//image.musinsa.com/mfile_s01/_street_images/44888/280.street_img_view25b39effd96c07.jpg?20180702183155,"['트랙팬츠', '하의', '검정색', '섹시', '페미닌']",23.7,1
2018-06-10,//image.musinsa.com/mfile_s01/_street_images/44906/280.street_img_view15b39e81ecb1a2.jpg?20180702191517,"['데님팬츠', 'denim', 'pants', '하의', '데님', '심플', '캐주얼']",21.3,1
2018-06-11,//image.musinsa.com/mfile_s01/_street_images/44935/280.street_img_view25b1e38b60504c.jpg?20180611185709,"['데님팬츠', '블루', '하의', '데님', '섹시', '페미닌']",20.2,6
2018-06-11,//image.musinsa.com/mfile_s01/_street_images/44984/280.street_img_view15b2a1067c3fbb.jpg?20180620185121,"['쇼츠', '블랙', '하의', '검정색', '유니크', '키치']",20.2,6
2018-06-11,//image.musinsa.com/mfile_s01/_street_images/44939/280.street_img_view25b1e381807f14.jpg?20180612105327,"['롱스커트', '플라워', '하의', '기타패턴', '걸리시']",20.2,6
2018-06-11,//image.musinsa.com/mfile_s01/_street_images/44944/280.street_img_view25b1e18f0ccfe4.jpg?20180611185441,"['슬랙스', '블랙', '하의', '검정색', '섹시', '페미닌']",20.2,6
2018-06-11,//image.musinsa.com/mfile_s01/_street_images/44987/280.street_img_view25b2a0e9a6ae8f.jpg?20180620185024,"['쇼츠', '데님', '하의', '데님', '유니크', '키치']",20.2,6
2018-06-11,//image.musinsa.com/mfile_s01/_street_images/44931/280.street_img_view15b1e39431aa3d.jpg?20180611185924,"['트랙팬츠', '레드', '사이', '블루', '하의', '빨간색', '심플', '캐주얼']",20.2,6
2018-06-11,//image.musinsa.com/mfile_s01/_street_images/44959/280.street_img_view25b2afdf36cb52.jpg?20180621102521,"['미디스커트', '하의', '녹색', '섹시', '페미닌']",20.2,6
2018-06-11,//image.musinsa.com/mfile_s01/_street_images/44930/280.street_img_view25b1e3974edcfa.jpg?20180612105047,"['쇼츠', '데님', '하의', '데님', '스트리트', '힙합']",20.2,6
2018-06-11,//image.musinsa.com/mfile_s01/_street_images/44942/280.street_img_view25b1e377b678db.jpg?20180611185600,"['조거팬츠', '블랙', '조거', '하의', '검정색', '스트리트', '힙합']",20.2,6
2018-06-11,//image.musinsa.com/mfile_s01/_street_images/44982/280.street_img_view15b2a16115a775.jpg?20180620185148,"['스커트', '화이트', '하의', '흰색', '유니크', '키치']",20.2,6
2018-06-11,//image.musinsa.com/mfile_s01/_street_images/44973/280.street_img_view25b2a1b659f6fa.jpg?20180620185415,"['스커트', '체크', '레드', '하의', '체크', '섹시', '페미닌']",20.2,6
2018-06-12,//image.musinsa.com/mfile_s01/_street_images/45086/280.street_img_view15b32fce472474.jpg?,"['뷔스티에', '원피스', '하의', '데님', '걸리시']",21.3,1
2018-06-14,//image.musinsa.com/mfile_s01/_street_images/45052/280.street_img_view25b332840a12d5.jpg?20180627155839,"['쇼츠', '하의', '검정색', '섹시', '페미닌']",21.6,1
2018-06-17,//image.musinsa.com/mfile_s01/_street_images/45108/280.street_img_view15b275853af73d.jpg?,"['팬츠', '블랙', '하의', '검정색', '심플', '캐주얼']",22.8,1
2018-06-18,//image.musinsa.com/mfile_s01/_street_images/45128/280.street_img_view25b275492da380.jpg?,"['와이드팬츠', '블랙', '하의', '검정색', '심플', '캐주얼']",24.8,1
2018-06-18,//image.musinsa.com/mfile_s01/_street_images/45132/280.street_img_view25b2752b782c3e.jpg?,"['데님팬츠', '블루', '하의', '데님', '심플', '캐주얼']",24.8,1
2018-06-20,//image.musinsa.com/mfile_s01/_street_images/45176/280.street_img_view25b3c476dc271d.jpg?,"['데님팬츠', 'denim', 'pants', '하의', '데님', '유니크', '키치']",22.7,1
2018-06-20,//image.musinsa.com/mfile_s01/_street_images/45189/280.street_img_view25b2a2648a3347.jpg?,"['팬츠', '블랙', '하의', '검정색', '심플', '캐주얼']",22.7,1
2018-06-24,//image.musinsa.com/mfile_s01/_street_images/45213/280.street_img_view15b4310629ce6a.jpg?,"['플리츠', '스커트', '하의', '파랑색', '걸리시']",25.2,1
2018-06-25,//image.musinsa.com/mfile_s01/_street_images/45259/280.street_img_view25b31fe6b55bfe.jpg?20180625121826,"['쇼츠', '블루', '하의', '데님', '섹시', '페미닌']",27.1,7
2018-06-25,//image.musinsa.com/mfile_s01/_street_images/45260/280.street_img_view25b31fe295f309.jpg?,"['쇼츠', '블루', '하의', '데님', '심플', '캐주얼']",27.1,7
2018-06-25,//image.musinsa.com/mfile_s01/_street_images/45245/280.street_img_view25b32020e48b89.jpg?,"['디스트로이드진', '데님', '하의', '데님', '심플', '캐주얼']",27.1,7
2018-06-29,//image.musinsa.com/mfile_s01/_street_images/45311/280.street_img_view15b35822e3e234.jpg?20180704164849,"['N182MHP970', '내셔널지오그래픽', '하의', '파랑색', '스트리트', '힙합']",24.7,1
2018-07-04,//image.musinsa.com/mfile_s01/_street_images/45359/280.street_img_view15b3dbcb980eb4.jpg?,"['롱스커트', '베이지', '하의', '베이지색', '심플', '캐주얼']",27.3,7
